OBJECTID,LAT_DEG,LAT_MIN,LAT_SEC,LAT_HEMIS,LAT_DECIMAL,LONG_DEG,LONG_MIN,LONG_SEC,LONG_HEMIS,LONG_DECIMAL,ICAO_ID
11962,39,50,49.5,N,39.84708333,83,59,23.43,W,-83.98984166,
11963,39,18,42.3955,N,39.31177652,84,31,5.3388,W,-84.51814966,
11964,41,27,1.64,N,41.45045555,81,49,21.71,W,-81.82269722,
11965,39,41,45.197,N,39.69588805,84,26,54.81,W,-84.44855833,
11966,38,51,2.2,N,38.85061111,84,6,26.55,W,-84.107375,
11967,41,0,43.3,N,41.01202777,83,40,7,W,-83.66861111,KFDY
11968,40,56,48.19,N,40.94671944,83,40,47.76,W,-83.67993333,
11969,41,1,4,N,41.01777777,83,39,5,W,-83.65138888,
11970,41,1,57,N,41.0325,83,41,17,W,-83.68805555,
11971,40,57,42.194,N,40.96172055,83,35,42.747,W,-83.5952075,
11972,40,58,35.193,N,40.9764425,83,38,29.753,W,-83.64159805,
11973,40,57,13.181,N,40.95366138,84,16,24.812,W,-84.27355888,
11974,41,11,27,N,41.19083333,83,23,35.1,W,-83.39308333,KFZI
11975,41,9,47.77,N,41.16326944,83,25,27.12,W,-83.4242,
11976,41,12,57.189,N,41.21588583,83,33,28.747,W,-83.55798527,
11977,40,29,34.31,N,40.49286388,82,33,36.25,W,-82.56006944,
11978,41,19,59.1,N,41.33308333,83,9,40.3,W,-83.16119444,
11979,41,20,22.95,N,41.33970833,83,8,5.2,W,-83.13477777,
11980,41,17,44.7,N,41.29575,83,2,14,W,-83.03722222,
11981,41,25,6.187,N,41.41838527,83,1,2.698,W,-83.01741611,
11982,40,13,14.224,N,40.22061777,82,56,46.654,W,-82.94629277,
11983,40,44,10.207,N,40.73616861,82,45,9.645,W,-82.75267916,
11984,40,45,12.2,N,40.75338888,82,43,25.7,W,-82.72380555,KGQQ
11985,40,43,48.97,N,40.73026944,82,48,7.21,W,-82.80200277,
11986,40,45,3.41,N,40.75094722,82,43,26.06,W,-82.72390555,
11987,38,50,2.8015,N,38.83411152,82,9,48.3474,W,-82.16342983,KGAS
11988,38,50,44.96,N,38.84582222,82,14,19.56,W,-82.23876666,
11989,41,25,13.11,N,41.42030833,81,35,58.36,W,-81.59954444,
11990,41,21,4.197,N,41.35116583,81,5,58.349,W,-81.09954138,
11991,41,46,40.196,N,41.77783222,80,54,14.327,W,-80.90397972,
11992,41,49,30.193,N,41.82505361,80,52,59.325,W,-80.88314583,
11993,41,49,18.85,N,41.82190277,80,57,0.04,W,-80.95001111,
11994,41,47,54.977,N,41.79860472,80,57,41.1405,W,-80.96142791,
11995,38,52,55.0041,N,38.88194558,83,52,57.852,W,-83.88273666,KGEO
11996,38,51,32.7667,N,38.85910186,83,53,45.1793,W,-83.89588313,
11997,39,36,0.203,N,39.60005638,84,24,59.801,W,-84.41661138,
11998,39,35,35.208,N,39.59311333,84,20,37.793,W,-84.34383138,
11999,39,31,49.253,N,39.53034805,82,2,0.014,W,-82.03333722,
12000,40,21,39,N,40.36083333,81,25,24,W,-81.42333333,
12001,39,14,22,N,39.23944444,84,6,1,W,-84.10027777,
12002,39,12,9.221,N,39.20256138,84,6,16.761,W,-84.10465583,
12003,39,14,21.01,N,39.23916944,84,10,27.78,W,-84.17438333,
12004,41,15,40.405,N,41.26122361,81,59,29.3,W,-81.99147222,
12005,39,37,21,N,39.6225,84,28,59,W,-84.48305555,
12006,41,31,14.18,N,41.52060555,83,16,30.73,W,-83.27520277,
12007,39,21,55.23,N,39.36534166,83,21,15.691,W,-83.35435861,
12008,40,7,31,N,40.12527777,84,34,57,W,-84.5825,
12009,39,25,42.229,N,39.42839694,82,49,21.624,W,-82.82267333,
12010,38,55,37.243,N,38.92701194,83,59,18.751,W,-83.98854194,
12011,39,21,49.5,N,39.36375,84,31,19,W,-84.52194444,KHAO
12012,39,24,58.93,N,39.41636944,84,34,23.38,W,-84.57316111,
12013,39,22,31.6,N,39.37544444,84,21,38.9,W,-84.36080555,
12014,39,18,39.36,N,39.31093333,84,39,0.67,W,-84.65018611,
12015,39,23,0.07,N,39.38335277,84,39,15.43,W,-84.65428611,
12016,39,15,33.367,N,39.25926861,84,46,27.5,W,-84.77430555,
12017,39,18,0.198,N,39.300055,84,44,59.819,W,-84.74994972,
12018,41,17,30.2,N,41.29172222,80,33,49.262,W,-80.56368388,
12019,39,57,42.129,N,39.9617025,82,32,26.373,W,-82.54065916,
12020,39,57,13,N,39.95361111,82,31,58,W,-82.53277777,
12021,39,11,19.5408,N,39.18876133,83,32,19.6495,W,-83.53879152,KHOC
12022,39,13,18.87,N,39.22190833,83,36,35.02,W,-83.60972777,
12023,39,10,50.69,N,39.18074722,83,47,1.19,W,-83.78366388,
12024,41,17,38.4,N,41.294,81,9,22.3,W,-81.15619444,
12025,39,57,15.241,N,39.95423361,82,10,59.516,W,-82.18319888,
12026,40,18,54.2412,N,40.315067,82,14,37.3232,W,-82.24370088,
12027,41,24,10.18,N,41.40282777,82,37,44.639,W,-82.62906638,
12028,41,24,16.18,N,41.40449444,82,36,11.33,W,-82.60314722,
12029,39,5,57.247,N,39.09923527,83,6,59.654,W,-83.11657055,
12030,38,58,52.897,N,38.98136027,82,34,40.259,W,-82.57784972,KJRO
12031,38,54,43.768,N,38.91215777,82,43,29.602,W,-82.72488944,
12032,39,1,58.85,N,39.03301388,82,38,24.41,W,-82.64011388,
12033,39,37,30.218,N,39.62506055,83,46,59.73,W,-83.78325833,
12034,39,40,49.27,N,39.68035277,83,44,40.82,W,-83.74467222,
12035,39,39,20.05,N,39.65556944,83,45,2.8,W,-83.75077777,
12036,39,36,37.59,N,39.61044166,83,35,5.9,W,-83.58497222,
12037,40,11,37.475,N,40.19374305,82,39,25.12,W,-82.65697777,
12038,40,9,34.45,N,40.15956944,82,44,15.575,W,-82.73765972,
12039,41,36,11.455,N,41.60318194,82,41,6.195,W,-82.68505416,
12040,41,9,5,N,41.15138888,81,24,54.4,W,-81.41511111,
12041,40,38,44.8,N,40.64577777,83,35,43.55,W,-83.59543055,
12042,40,40,8.2,N,40.66894444,83,26,36.726,W,-83.443535,
12043,40,36,36.333,N,40.6100925,83,38,39.3334,W,-83.64425927,
12044,39,41,43.38,N,39.69538333,84,11,32.2,W,-84.19227777,
12045,40,45,40.2,N,40.76116666,81,46,44.48,W,-81.77902222,
12046,40,20,43.8,N,40.3455,82,56,25.8,W,-82.9405,
12047,39,21,22.54,N,39.35626111,84,15,21.06,W,-84.25585,
12048,41,50,17.196,N,41.83811,80,38,37.282,W,-80.64368944,
12049,41,24,3.185,N,41.40088472,80,34,42.875,W,-80.57857638,
12050,41,14,33.187,N,41.24255194,82,16,12.577,W,-82.27016027,
12051,41,12,20.189,N,41.20560805,82,19,52.588,W,-82.33127444,
12052,41,15,22.188,N,41.25616333,82,8,37.544,W,-82.14376222,
12053,39,45,20.299,N,39.75563861,82,39,25.547,W,-82.65709638,KLHQ
12054,39,43,5.4,N,39.71816666,82,34,40.1,W,-82.57780555,
12055,39,58,3.188,N,39.96755222,84,24,31.815,W,-84.4088375,
12056,39,59,48.215,N,39.99672638,83,51,16.75,W,-83.85465277,
12057,39,27,43.8,N,39.46216666,84,15,6.649,W,-84.25184694,
12058,39,25,51.62,N,39.43100555,84,16,59.37,W,-84.28315833,
12059,39,22,0,N,39.36666666,83,36,0,W,-83.6,
12060,41,6,11.183,N,41.10310638,84,3,6.799,W,-84.05188861,
12061,41,42,35.178,N,41.70977166,81,7,29.354,W,-81.12482055,
12062,39,22,38.39,N,39.37733055,84,22,6.24,W,-84.3684,
12063,40,42,26.9207,N,40.70747797,84,1,37.481,W,-84.02707805,KAOH
12064,40,44,8.44,N,40.73567777,84,5,12.81,W,-84.08689166,
12065,40,46,16.184,N,40.77116222,84,6,21.811,W,-84.10605861,
12066,40,44,25.99,N,40.74055277,84,7,5.89,W,-84.11830277,
12067,41,3,42,N,41.06166666,81,59,1,W,-81.98361111,
12068,41,2,8.25,N,41.035625,82,0,53.64,W,-82.0149,
12069,39,55,57.8,N,39.93272222,83,27,43.2,W,-83.462,KUYF
12070,39,53,35.73,N,39.89325833,83,27,8.93,W,-83.45248055,
12071,41,20,39.4,N,41.34427777,82,10,39.5,W,-82.17763888,KLPR
12072,41,8,56.206,N,41.14894611,80,50,24.301,W,-80.84008361,
12073,40,37,21.01,N,40.62250277,82,15,9.12,W,-82.25253333,
12074,40,54,47.209,N,40.91311361,81,15,35.381,W,-81.25982805,
12075,39,17,3.213,N,39.28422583,84,12,40.769,W,-84.21132472,
12076,38,53,40.262,N,38.89451722,83,6,48.646,W,-83.11351277,
12077,41,42,12.184,N,41.70338444,84,0,9.801,W,-84.0027225,
12078,39,19,40.76,N,39.32798888,82,26,28.165,W,-82.44115694,
12079,39,39,15.245,N,39.65423472,81,48,11.475,W,-81.8031875,
12080,41,43,1.181,N,41.71699472,81,6,24.352,W,-81.10676444,
12081,41,47,32.184,N,41.79227333,81,3,29.349,W,-81.0581525,
12082,40,41,11.217,N,40.68644916,81,18,9.398,W,-81.30261055,
12083,40,41,49.9,N,40.69719444,81,10,45,W,-81.17916666,
12084,40,45,17.205,N,40.75477916,82,23,29.591,W,-82.39155305,
12085,40,45,10.34,N,40.75287222,82,31,46.14,W,-82.52948333,
12086,40,45,40.205,N,40.76116805,82,25,4.595,W,-82.41794305,
12087,40,49,17.1,N,40.82141666,82,30,59.9,W,-82.51663888,KMFD
12088,41,21,33,N,41.35916666,81,13,4,W,-81.21777777,
12089,39,26,26.28,N,39.44063333,81,26,36.76,W,-81.44354444,
12090,39,25,55.55,N,39.43209722,81,27,50.84,W,-81.46412222,
12091,40,30,13.215,N,40.50367083,83,5,24.68,W,-83.09018888,
12092,40,34,18.6672,N,40.571852,83,7,48.1836,W,-83.130051,
12093,40,36,58.5,N,40.61625,83,3,48.5,W,-83.06347222,KMNN
12094,41,15,25.18,N,41.25699444,84,38,29.835,W,-84.64162083,
12095,40,56,38.209,N,40.94394694,81,14,20.375,W,-81.23899305,
12096,40,13,28.112,N,40.22447555,83,21,6.294,W,-83.35174833,KMRT
12097,40,16,51.2,N,40.28088888,83,30,14.73,W,-83.50409166,
12098,40,13,47.03,N,40.22973055,83,22,3.48,W,-83.36763333,
12099,40,10,57,N,40.1825,83,21,3.4,W,-83.35094444,
12100,40,49,7.206,N,40.81866833,81,31,25.432,W,-81.52373111,
12101,40,48,16.62,N,40.80461666,81,30,59.75,W,-81.51659722,
12102,41,33,21.96,N,41.5561,83,40,55.51,W,-83.68208611,
12103,41,31,8.64,N,41.51906666,81,26,8.52,W,-81.4357,
12104,41,7,53.2,N,41.13144444,81,45,53.6,W,-81.76488888,
12105,41,8,13.25,N,41.13701388,81,50,12.19,W,-81.83671944,
12106,41,39,2.24,N,41.65062222,81,20,28.2,W,-81.34116666,
12107,39,38,16.47,N,39.63790833,84,14,50.98,W,-84.24749444,
12108,41,41,40,N,41.69444444,82,47,47.6,W,-82.79655555,
12109,41,41,18.2,N,41.68838888,82,48,29.4,W,-82.80816666,
